User ID,Energy (kWh),Charging Time (seconds),Total Duration (seconds),Session Count,Cluster
247317,5.857,6965.0,6975.0,1,2
2474181,10.846,6530.0,6544.0,1,2
247459,4.7474931,3953.25,6715.15,20,1
247471,15.411934666666667,9367.0,9638.666666666666,3,2
2474951,7.685,4646.0,4681.0,1,1
2475351,8.113,4792.0,4812.0,1,1
2475651,13.741,8579.0,9757.0,1,2
2476281,7.176,4672.0,4686.0,1,1
2476951,8.736,5696.0,5707.0,1,2
2477351,7.2044999999999995,4313.5,4348.0,2,1
2478211,9.584446153846155,10632.692307692309,12606.23076923077,65,2
247827,10.621,12904.0,12919.0,1,2
247857,4.452707344827586,3911.2413793103447,3978.9310344827586,29,1
247909,9.31,10284.0,10305.0,1,2
247939,5.7035,3561.5,4397.0,2,1
247993,3.8444380000000002,3808.0,4079.0,6,1
248009,4.278997363636363,5065.0,5591.090909090909,11,1
2480311,8.7465,5298.5,5315.5,2,1
248097,7.148681,5343.75,5354.25,4,1
248187,12.2544,7593.68,9106.8,25,2
2482331,9.813545454545455,6042.909090909091,6061.272727272727,11,2
248237,7.2621533846153845,4765.307692307692,6267.0,13,1
2483381,7.452799999999999,4484.0,4526.8,5,1
248415,2.317,1417.0,1458.0,1,1
248443,2.319,2241.0,2256.0,1,1
248467,5.25549075,3602.0,3625.0,4,1
248549,4.532105,3044.0,3051.0,1,1
2485911,10.401333333333334,6295.5,6410.0,6,2
2486291,4.706,3078.0,3082.0,1,1
248663,2.695738,4700.0,4719.0,1,1
2486731,7.056399999999999,4301.2,4316.6,5,1
248679,2.401,1519.0,1545.0,1,1
248709,4.101372272727272,2530.5454545454545,3945.3636363636365,11,1
2487311,6.575,8571.0,13608.0,1,2
248737,5.602842,3425.0,3448.0,1,1
248757,9.808034249999999,6504.75,6522.75,4,2
248815,4.547,2930.0,2939.0,1,1
248855,9.477,8673.5,8724.0,4,2
248931,4.2966318333333335,3041.0,3053.3333333333335,6,1
248993,3.36759,2039.0,2055.0,1,1
249025,6.399,3959.0,3965.0,1,1
249103,12.684,8879.0,9472.0,1,2
249113,7.0558000000000005,4516.2,4563.4,5,1
249139,3.696261777777778,4391.888888888889,5543.222222222223,9,1
2491431,1.567,953.0,964.0,1,1
24923,11.3375845,6554.5,6567.5,2,2
2492321,15.95907142857143,9539.17857142857,9579.07142857143,28,2
249237,7.769841,5163.25,5204.75,4,1
2492391,13.298,7976.5,7996.0,2,2
249245,19.486450926829267,11826.292682926829,12800.963414634147,82,0
2492681,5.596194690265487,6985.539823008849,8516.41592920354,113,2
249273,9.011589,5485.0,5501.0,1,1
2493581,7.168,8687.0,9872.0,1,2
2493801,6.588,3992.0,3998.0,1,1
2493871,2.021,1250.0,1269.0,1,1
249445,5.943796222222222,4398.555555555556,4417.888888888889,18,1
249461,6.282691916666667,7811.875,9412.583333333334,24,2
249511,9.4435,6583.0,6604.5,2,2
249561,2.17309,3515.0,3536.0,1,1
249591,4.6701429999999995,5416.333333333333,5491.333333333333,3,1
249639,5.831,3507.5,3525.25,4,1
249649,8.5882075,5685.0,8994.5,2,2
2497021,8.833,9690.0,9703.0,1,2
249711,10.58,6288.333333333333,6353.333333333333,3,2
2497191,3.6385,4284.5,5568.0,2,1
249721,2.485028,1655.0,1657.0,1,1
249849,9.386419000000002,5811.333333333333,6647.0,3,2
249865,4.455826,3694.25,6855.25,4,1
249983,5.075640333333333,4888.333333333333,4961.333333333333,3,1
250031,2.083394833333333,1688.8333333333333,4083.3333333333335,6,1
250079,4.459,5139.0,5161.0,1,1
2501011,1.703818181818182,1055.4545454545455,1197.909090909091,11,1
250117,5.951577,3465.0,3488.0,1,1
250143,9.8351072,7191.8,7500.8,5,2
2502351,7.262,4698.0,4717.0,1,1
250243,13.593499999999999,7870.5,7883.0,2,2
250291,7.809060333333334,5019.666666666667,15501.333333333334,3,2
2503991,9.36,5595.0,5611.0,1,2
250403,10.010132428571428,6204.142857142857,8003.857142857143,7,2
2504521,2.629,1708.0,1730.0,1,1
250455,3.9777714782608693,5035.217391304348,5065.739130434783,23,1
250459,9.994905222222222,7858.305555555556,10820.777777777777,72,2
250479,14.9555,9071.0,9094.0,2,2
250501,3.641,2254.0,2275.0,1,1
2506791,1.703,1087.0,1103.0,1,1
2506991,1.55,926.0,964.0,1,1
2507731,3.754,4829.0,7058.0,1,1
250805,9.011,10261.0,10275.0,1,2
2508071,7.23808,4447.68,4467.96,25,1
250825,1.913979,1160.0,1171.0,1,1
250875,2.2112818124999998,2474.625,3123.5,16,1
250881,4.9550884,5747.0,8292.2,5,1
251051,11.326,7580.0,7593.0,1,2
2510601,4.171,4628.0,4650.0,1,1
2510721,27.105428571428572,16401.85714285714,22116.85714285714,7,0
2510811,5.221,3384.0,4459.666666666667,3,1
251089,1.389,1115.0,1134.0,1,1
251155,9.0288266,5557.44,6847.56,25,2
2511831,0.752,475.0,9726.0,1,1
251261,1.0954190000000001,2074.0,5033.0,2,1
251287,19.559363636363635,12125.318181818182,15776.59090909091,22,0
251341,2.3174841111111113,4354.0,5089.222222222223,9,1
2513971,14.83,9758.0,9782.0,1,2
251405,6.395694499999999,7191.5,7210.0,2,2
251475,6.372,10806.0,11079.0,1,2
2516071,1.772,2978.0,11830.0,1,1
251609,3.7015000000000002,4543.0,5302.5,2,1
2517481,13.787333333333335,8849.5,9043.0,6,2
251767,8.0445,5185.0,15418.5,4,2
2518861,9.967,6105.0,6115.0,1,2
251927,9.208206,9329.545454545454,15873.454545454546,11,2
251957,2.2597180625,3933.0625,4457.75,32,1
2520161,7.064,4275.0,4330.0,1,1
2520311,11.512,6970.0,6988.0,1,2
252059,1.136,983.0,4566.0,2,1
2521091,10.51275,6325.75,6350.25,4,2
252133,1.903257,3065.7272727272725,4264.636363636364,11,1
252161,0.08797,63.0,6328.0,1,1
252413,6.147892,4789.333333333333,5506.083333333333,12,1
2524351,2.171,2380.0,2393.0,1,1
252521,9.208146,5954.5,5974.0,2,2
252557,7.801090857142857,5401.285714285715,5413.142857142857,7,1
252591,6.999292666666666,9058.333333333334,11284.666666666666,3,2
2527791,6.388,4076.0,4094.0,2,1
2528481,6.151,3698.0,3764.0,1,1
252849,10.756,6680.0,10885.0,1,2
2528531,6.442,7119.5,7973.5,2,2
252877,5.68674,3962.5,3976.8333333333335,6,1
252891,5.011316714285714,3184.8571428571427,5110.285714285715,7,1
2529061,12.011,7290.0,7306.0,1,2
2530011,3.316,1949.0,1965.0,1,1
253007,4.03897,4700.0,6504.0,1,1
253041,6.771429,7789.0,7811.0,1,2
2531991,8.446,9599.0,9627.0,1,2
2532081,0.109,164.0,4004.0,1,1
253221,11.754,8575.0,10006.0,1,2
2532421,12.237,7435.0,7447.0,1,2
253249,4.418,2793.5,11336.0,2,1
253347,0.717629,649.0,660.5,2,1
253349,11.240314,7228.0,7445.0,3,2
253371,7.182814023255814,8830.720930232557,8962.906976744185,43,2
253417,6.435388,4467.5,6981.5,2,1
253451,5.3735,4450.0,5587.0,2,1
253469,7.14,4440.0,4554.0,1,1
2535,2.598979735294118,3535.323529411765,4563.411764705882,34,1
2535001,5.3745625,3303.5,3868.0625,16,1
253611,1.9707872499999999,1935.5,2243.5,4,1
253709,9.347,5711.0,5723.0,1,2
253777,4.842,6520.0,6856.0,1,1
2537791,1.545,1118.0,2086.0,1,1
2538271,3.128,3436.0,3468.0,1,1
253V,1.417779,1669.0,1691.0,1,1
254045,4.815,8730.0,11478.0,1,2
254327,2.301671285714286,3584.285714285714,5194.857142857143,7,1
254467,7.14728,4445.0,4461.0,1,1
254475,7.163970529411764,4416.911764705882,5245.0,34,1
2544831,6.973,9166.0,9191.0,1,2
2545,6.951577405063292,4920.227848101265,5533.341772151899,79,1
254523,10.339302499999999,6533.0,8977.5,2,2
254631,7.69526025,5440.625,6129.625,8,1
2547281,3.356,3692.0,3707.0,1,1
254745,5.278,3150.0,3168.0,1,1
254781,7.637802894736843,4668.684210526316,7862.473684210527,19,1
254841,4.4425,3278.5,3293.0,2,1
254851,7.222326,4890.0,4909.0,1,1
254903,8.2557565,5072.5,5096.5,2,1
254951,5.0615000000000006,5106.0,5119.0,2,1
255015,7.9277999999999995,5526.0,7726.4,5,2
255093,13.435,8163.0,8217.0,1,2
2551001,5.385,3190.0,3197.0,1,1
2551091,20.125330188679243,13320.669811320755,15170.72641509434,106,0
255171,6.723,8254.0,8917.0,1,2
255185,5.555512,6370.0,6386.0,1,1
2552751,3.8866666666666667,2329.0,2347.3333333333335,3,1
2553231,21.541,12857.0,12881.0,1,0
2553271,0.935,1226.0,1825.0,1,1
2553491,6.2465,7079.0,8241.5,2,2
255395,1.734986,3494.0,6684.0,1,1
255431,2.817,3024.0,3031.0,1,1
255451,6.590460333333333,5427.333333333333,5721.333333333333,3,1
255473,4.578843,3777.0,3790.0,3,1
2554961,6.09,3930.0,3938.0,1,1
255521,2.147,2646.0,12350.0,1,1
255573,2.4939999999999998,3154.5,3205.0,2,1
2555971,7.115,4336.0,4353.0,1,1
255599,0.838446,504.0,513.0,1,1
255613,5.498346153846153,3438.6153846153848,3493.3076923076924,26,1
255693,3.517780697986577,3502.986577181208,3738.2348993288592,149,1
255855,13.832,10971.0,22086.0,1,0
255861,6.488438,8246.0,8256.0,1,2
255939,2.801711,1769.0,1777.0,1,1
255945,2.5735,2380.5,2431.5,2,1
255965,4.3505,5126.5,8382.0,2,1
2559761,4.905,3069.0,3081.0,1,1
256009,6.7516278,5235.2,5249.2,5,1
256035,8.396722,9705.0,9720.0,1,2
2560601,3.626,3994.0,4004.0,1,1
256087,3.844532,2495.0,2542.5,2,1
256163,6.676,4501.5,4514.0,2,1
2562081,17.646,10520.0,10527.0,1,2
2562891,0.4,244.0,258.0,1,1
2563261,13.159,8613.0,8632.0,1,2
256335,10.39992475,8028.25,10412.083333333334,12,2
256337,6.4347710000000005,3969.0,3972.0,2,1
256389,11.000029999999999,8597.0,8615.0,2,2
256461,5.4061319999999995,3508.0,3521.0,2,1
2565931,1.032,1088.0,1099.0,1,1
2566331,7.027,4591.0,4631.0,1,1
2566421,20.635,12252.0,12271.0,1,2
256731,4.4576492000000005,2755.2,2775.8,5,1
256741,9.465713714285714,8785.57142857143,15203.0,7,2
2567911,11.735,7524.0,7744.166666666667,6,2
256821,4.828,2837.0,2848.0,1,1
256833,4.081022,5190.0,10065.0,1,1
256925,6.980074666666667,5127.888888888889,5269.222222222223,18,1
256985,1.794,1109.0,1118.5,2,1
2570101,10.145,6063.0,6079.5,2,2
2570371,9.744,5875.5,5889.0,2,2
257075,6.91,4444.0,4449.0,1,1
2572061,3.1719999999999997,3912.8,3928.2,5,1
2572271,7.288,4591.0,4601.0,1,1
2572691,10.377355072463768,6399.0,6883.95652173913,138,2
2573591,2.9629999999999996,2893.6666666666665,2908.6666666666665,3,1
2573991,7.367,4754.0,8065.0,1,1
2574011,6.946000000000001,8172.0,9606.666666666666,9,2
257463,2.045294,1899.0,3509.0,1,1
2574711,9.347249999999999,10922.15,11672.9,40,2
257505,5.079684,6295.0,6308.0,1,1
257521,7.6282509,5859.1,6083.2,10,1
257523,5.20865,6273.833333333333,6474.666666666667,6,1
2575291,12.628,7693.0,7710.0,1,2
257551,6.912836,4215.0,4234.0,1,1
2575701,4.769,5100.0,7122.0,1,1
257621,6.2276,7592.0,8176.0,5,2
2576731,7.207,4331.0,4348.0,1,1
2576841,12.447,7480.0,8635.0,1,2
257795,2.348,1514.0,4981.0,1,1
257799,7.625499,8770.0,8788.0,1,2
2578571,1.9344999999999999,1188.5,1228.5,2,1
2580411,5.0111,3295.6,4972.6,10,1
2581791,5.7620000000000005,6732.0,7266.0,2,2
2582511,4.800611111111111,3000.3888888888887,3021.8333333333335,18,1
2582931,8.737142857142857,8620.0,9513.57142857143,7,2
258381,5.63896338095238,3574.5714285714284,3997.5238095238096,21,1
258449,5.369514,6193.0,8458.0,1,2
258455,11.892,9539.0,9554.0,1,2
258465,6.528686499999999,4296.5,4360.5,2,1
2586011,9.75,5678.0,5707.0,1,2
258687,7.32,8405.0,8413.0,1,2
258763,8.974282,6020.0,6045.0,1,2
258769,3.22,2165.0,2183.0,1,1
258771,5.542347,6465.0,6474.0,1,1
258797,4.135666666666666,4486.5,5712.666666666667,6,1
258831,4.743,5260.0,5272.0,1,1
2588711,13.202285714285713,10334.42857142857,13936.285714285714,7,2
258897,10.6425,7271.5,7291.5,2,2
