Station Name,Charging Time (min)_Weekday_Day,Charging Time (min)_Weekday_Night,Charging Time (min)_Weekend_Day,Charging Time (min)_Weekend_Night,Energy (kWh)_Weekday_Day,Energy (kWh)_Weekday_Night,Energy (kWh)_Weekend_Day,Energy (kWh)_Weekend_Night,Occupied Time (min)_Weekday_Day,Occupied Time (min)_Weekday_Night,Occupied Time (min)_Weekend_Day,Occupied Time (min)_Weekend_Night
PALO ALTO CA / SHERMAN 5,0.0,0.0,0.0,44.8,0.0,0.0,0.0,4.543777777777778,0.0,0.0,0.0,45.13333333333333
PALO ALTO CA / SHERMAN 6,0.0,805.9,0.0,0.0,0.0,80.55616085889866,0.0,0.0,0.0,848.9833333333333,0.0,0.0
PALO ALTO CA / SHERMAN 7,13.0,1313.5166666666667,0.0,1078.0166666666667,1.2468883610451307,133.9420255647992,0.0,110.35204251757847,13.0,1350.3833333333334,0.0,1079.1833333333334
PALO ALTO CA / SHERMAN 8,0.0,310.95,4984.0,252.0,0.0,31.614030732148237,482.9141141757537,24.942398488226768,0.0,311.43333333333334,5845.75,252.0
PALO ALTO CA / SHERMAN 9,0.0,0.0,0.0,64.15,0.0,0.0,0.0,6.536238836967809,0.0,0.0,0.0,64.43333333333334
PALO ALTO CA / TED THOMPSON #1,1116755.0166666666,2112866.2666666666,291033.7833333333,537666.9666666667,84252.97863645575,146117.42973503435,23349.661844201964,38802.787261723584,1526623.7166666666,2345719.783333333,456760.7833333333,629934.45
PALO ALTO CA / TED THOMPSON #2,225865.45,586610.6166666667,69373.36666666667,88072.75,16319.2706771624,47298.048607252786,5757.603636066343,7050.20162941305,252237.88333333333,623894.05,85163.83333333333,103402.98333333334
PALO ALTO CA / TED THOMPSON #3,158552.05,603275.4166666666,50509.61666666667,111612.96666666666,11266.776645952988,45863.265960516444,3940.189711393951,9163.127984526885,188624.7,647151.8166666667,65687.85,132077.8
PALO ALTO CA / TED THOMPSON #4,119167.96666666667,589664.0333333333,19191.966666666667,85005.93333333333,8699.22428116435,43618.1635485424,1713.129136415283,6527.361004788733,134596.45,644163.95,24380.316666666666,97951.25
PALO ALTO CA / WEBSTER #1,1691919.6666666667,2745673.966666667,461335.01666666666,972264.4333333333,126621.66353879926,201375.31031121028,37695.66477575827,74128.82340292537,2580864.466666667,3152461.6,707104.9,1256826.1
PALO ALTO CA / WEBSTER #2,1537488.7166666666,2510805.8333333335,408957.3333333333,847088.4666666667,120892.88676400484,189417.10166491268,34554.55596130497,68308.93308198497,2316606.933333333,2891231.683333333,705295.6333333333,1072734.6166666667
PALO ALTO CA / WEBSTER #3,926366.9666666667,2116836.1,215585.26666666666,635562.6166666667,68678.52929778,156654.11972421143,17594.04466005579,48383.34428991317,1414070.8333333333,2389523.55,370090.6666666667,758371.8
